# Values derived from JWST Optical Budget Rev Y.v2, 
Value,NIRCam_req,NIRCam_pred,NIRSpec_req,NIRSpec_pred,MIRI_req,MIRI_pred,NIRISS_req,NIRISS_pred,FGS_req,FGS_pred,Optical Budget Source
System Total including uncertainty reserve,150,124,238,166,421,172,180,137,186,147,"Syst Brief, top summary table"
System Performance,135,93,233,121,386,132,161,100,155,99,"Syst Brief, system performance"
OTE Total,122,77,128,79,133,77,131,84,115,76,"Syst, OTE totals"
OTE total static,81,60,87,61,85,60,92,69,91,66,"Syst, OTE WFC Residual (=static)"
OTE residual low freq (field dep),33,21,44,24,41,22,53,41,50,35,"Syst, Comp. OTE Resid, Lo freq"
OTE residual controllable modes (mid freq),39,17,40,14,40,14,41,14,43,17,"RSS (Comp OTE Resid Mid,  WFSC sensing and control resid, less OTE pm figure mid)"
OTE uncontrollable high freq,64,54,64,53,64,53,64,54,64,54,"RSS(Syst Comp OTE Resid High, OTE PM Figure mid)"
OTE total dynamic,90,49,94,50,102,49,93,48,70,38,computed from the below 3
OTE vibe,13,4,13,4,13,4,13,4,13,4,"Syst, OTE Steady State Vibe"
OTE stability,57,33,57,33,57,33,57,33,57,33,"Syst, OTE stability"
Image motion (as equiv. WFE),69,36,73,37,84,36,72,34,39,19,"Syst, Image Motion Equ"
ISIM+SI total,58,52,195,92,363,107,93,55,103,68,"Syst, ISIM total"
SI internal WFE,56,52,194,92,362,107,91,55,101,68,"Syst,  [SI name] WFC Resid"
ISIM structural,13,0,14,0,13,0,13,0,18,0,"Syst, ISIM Struct WFC Resid"
ISIM+SI instability,13,5,13,5,13,5,13,5,13,5,"Syst, ISIM stab"
